Vulnerability name,access_control,arithmetic,denial_service,reentrancy,unchecked_low_calls,bad_randomness,front_running,time_manipulation,short_addresses,Other,Ignore
arbitrary-send,TRUE,,,,,,,,,,
assembly,,,,,,,,,,,TRUE
calls-loop,,,TRUE,,,,,,,,
constable-states,,,,,,,,,,,TRUE
constant-function,,,,,,,,,,,TRUE
controlled-delegatecall,TRUE,,,,,,,,,,
deprecated-standards,,,,,,,,,,,TRUE
erc20-indexed,,,,,,,,,,,TRUE
erc20-interface,,,,,,,,,,,TRUE
external-function,,,,,,,,,,,TRUE
incorrect-equality,,,,,,,,,,TRUE,
locked-ether,,,,,,,,,,TRUE,
low-level-calls,,,,,TRUE,,,,,,
naming-convention,,,,,,,,,,,TRUE
reentrancy-benign,,,,TRUE,,,,,,,
reentrancy-eth,,,,TRUE,,,,,,,
reentrancy-no-eth,,,,TRUE,,,,,,,
shadowing-abstract,,,,,,,,,,,TRUE
shadowing-builtin,,,,,,,,,,,TRUE
shadowing-local,,,,,,,,,,,TRUE
shadowing-state,,,,,,,,,,,TRUE
solc-version,,,,,,,,,,,TRUE
suicidal,TRUE,,,,,,,,,,
timestamp,,,,,,,,TRUE,,,
tx-origin,TRUE,,,,,,,,,,
uninitialized-local,,,,,,,,,,TRUE,
uninitialized-state,,,,,,,,,,TRUE,
uninitialized-storage,,,,,,,,,,TRUE,
unused-return,,,,,TRUE,,,,,,
unused-state,,,,,,,,,,,TRUE
